area,apprate,distance,duration
0.40,134.50,18.3,48
0.81,134.50,18.3,48
1.21,134.50,18.3,48
1.62,134.50,18.3,48
2.02,134.50,18.3,48
2.43,134.50,30.5,48
2.83,134.50,30.5,48
3.24,134.50,30.5,48
3.64,134.50,30.5,48
4.05,134.50,30.5,48
4.45,134.50,30.5,48
4.86,134.50,30.5,48
5.26,134.50,30.5,48
5.67,134.50,30.5,48
6.07,134.50,30.5,48
6.47,134.50,30.5,48
6.88,134.50,30.5,48
7.28,134.50,30.5,48
7.69,134.50,30.5,48
8.09,134.50,30.5,48
8.50,134.50,30.5,48
8.90,134.50,30.5,48
9.31,134.50,30.5,48
9.71,134.50,30.5,48
10.12,134.50,30.5,48
10.52,134.50,30.5,48
10.93,134.50,30.5,48
11.33,134.50,30.5,48
11.74,134.50,30.5,48
12.14,134.50,30.5,48
12.55,134.50,30.5,48
12.95,134.50,30.5,48
13.35,134.50,30.5,48
13.76,134.50,30.5,48
14.16,134.50,30.5,48
14.57,134.50,30.5,48
14.97,134.50,30.5,48
15.38,134.50,30.5,48
15.78,134.50,30.5,48
16.19,134.50,30.5,48
0.40,156.92,18.3,48
0.81,156.92,18.3,48
1.21,156.92,18.3,48
1.62,156.92,18.3,48
2.02,156.92,18.3,48
2.43,156.92,30.5,48
2.83,156.92,30.5,48
3.24,156.92,30.5,48
3.64,156.92,30.5,48
4.05,156.92,30.5,48
4.45,156.92,30.5,48
4.86,156.92,30.5,48
5.26,156.92,30.5,48
5.67,156.92,30.5,48
6.07,156.92,30.5,48
6.47,156.92,30.5,48
6.88,156.92,30.5,48
7.28,156.92,30.5,48
7.69,156.92,30.5,48
8.09,156.92,30.5,48
8.50,156.92,30.5,48
8.90,156.92,30.5,48
9.31,156.92,33.5,48
9.71,156.92,33.5,48
10.12,156.92,33.5,48
10.52,156.92,36.6,48
10.93,156.92,36.6,48
11.33,156.92,36.6,48
11.74,156.92,39.6,48
12.14,156.92,39.6,48
12.55,156.92,39.6,48
12.95,156.92,42.7,48
13.35,156.92,42.7,48
13.76,156.92,42.7,48
14.16,156.92,42.7,48
14.57,156.92,45.7,48
14.97,156.92,45.7,48
15.38,156.92,45.7,48
15.78,156.92,45.7,48
16.19,156.92,45.7,48
0.40,179.34,18.3,48
0.81,179.34,18.3,48
1.21,179.34,18.3,48
1.62,179.34,18.3,48
2.02,179.34,18.3,48
2.43,179.34,30.5,48
2.83,179.34,30.5,48
3.24,179.34,30.5,48
3.64,179.34,30.5,48
4.05,179.34,30.5,48
4.45,179.34,30.5,48
4.86,179.34,33.5,48
5.26,179.34,33.5,48
5.67,179.34,33.5,48
6.07,179.34,36.6,48
6.47,179.34,36.6,48
6.88,179.34,39.6,48
7.28,179.34,39.6,48
7.69,179.34,42.7,48
8.09,179.34,42.7,48
8.50,179.34,45.7,48
8.90,179.34,45.7,48
9.31,179.34,48.8,48
9.71,179.34,48.8,48
10.12,179.34,51.8,48
10.52,179.34,51.8,48
10.93,179.34,51.8,48
11.33,179.34,54.9,48
11.74,179.34,54.9,48
12.14,179.34,54.9,48
12.55,179.34,57.9,48
12.95,179.34,57.9,48
13.35,179.34,61.0,48
13.76,179.34,61.0,48
14.16,179.34,61.0,48
14.57,179.34,64.0,48
14.97,179.34,64.0,48
15.38,179.34,64.0,48
15.78,179.34,67.1,48
16.19,179.34,67.1,48
0.40,201.75,18.3,48
0.81,201.75,18.3,48
1.21,201.75,18.3,48
1.62,201.75,18.3,48
2.02,201.75,18.3,48
2.43,201.75,30.5,48
2.83,201.75,30.5,48
3.24,201.75,33.5,48
3.64,201.75,36.6,48
4.05,201.75,36.6,48
4.45,201.75,39.6,48
4.86,201.75,42.7,48
5.26,201.75,45.7,48
5.67,201.75,48.8,48
6.07,201.75,48.8,48
6.47,201.75,51.8,48
6.88,201.75,54.9,48
7.28,201.75,54.9,48
7.69,201.75,57.9,48
8.09,201.75,57.9,48
8.50,201.75,61.0,48
8.90,201.75,61.0,48
9.31,201.75,64.0,48
9.71,201.75,64.0,48
10.12,201.75,67.1,48
10.52,201.75,67.1,48
10.93,201.75,70.1,48
11.33,201.75,73.2,48
11.74,201.75,73.2,48
12.14,201.75,76.2,48
12.55,201.75,76.2,48
12.95,201.75,79.2,48
13.35,201.75,79.2,48
13.76,201.75,82.3,48
14.16,201.75,82.3,48
14.57,201.75,82.3,48
14.97,201.75,85.3,48
15.38,201.75,85.3,48
15.78,201.75,88.4,48
16.19,201.75,88.4,48
0.40,224.17,18.3,48
0.81,224.17,18.3,48
1.21,224.17,18.3,48
1.62,224.17,18.3,48
2.02,224.17,18.3,48
2.43,224.17,36.6,48
2.83,224.17,39.6,48
3.24,224.17,42.7,48
3.64,224.17,45.7,48
4.05,224.17,48.8,48
4.45,224.17,51.8,48
4.86,224.17,54.9,48
5.26,224.17,57.9,48
5.67,224.17,61.0,48
6.07,224.17,64.0,48
6.47,224.17,64.0,48
6.88,224.17,67.1,48
7.28,224.17,70.1,48
7.69,224.17,73.2,48
8.09,224.17,73.2,48
8.50,224.17,76.2,48
8.90,224.17,79.2,48
9.31,224.17,82.3,48
9.71,224.17,82.3,48
10.12,224.17,85.3,48
10.52,224.17,88.4,48
10.93,224.17,88.4,48
11.33,224.17,91.4,48
11.74,224.17,94.5,48
12.14,224.17,94.5,48
12.55,224.17,97.5,48
12.95,224.17,97.5,48
13.35,224.17,100.6,48
13.76,224.17,103.6,48
14.16,224.17,103.6,48
14.57,224.17,106.7,48
14.97,224.17,106.7,48
15.38,224.17,109.7,48
15.78,224.17,109.7,48
16.19,224.17,112.8,48
0.40,246.59,18.3,48
0.81,246.59,18.3,48
1.21,246.59,18.3,48
1.62,246.59,18.3,48
2.02,246.59,18.3,48
2.43,246.59,42.7,48
2.83,246.59,48.8,48
3.24,246.59,54.9,48
3.64,246.59,57.9,48
4.05,246.59,61.0,48
4.45,246.59,64.0,48
4.86,246.59,67.1,48
5.26,246.59,70.1,48
5.67,246.59,73.2,48
6.07,246.59,76.2,48
6.47,246.59,79.2,48
6.88,246.59,82.3,48
7.28,246.59,85.3,48
7.69,246.59,88.4,48
8.09,246.59,91.4,48
8.50,246.59,94.5,48
8.90,246.59,97.5,48
9.31,246.59,100.6,48
9.71,246.59,100.6,48
10.12,246.59,103.6,48
10.52,246.59,106.7,48
10.93,246.59,109.7,48
11.33,246.59,112.8,48
11.74,246.59,112.8,48
12.14,246.59,115.8,48
12.55,246.59,118.9,48
12.95,246.59,121.9,48
13.35,246.59,121.9,48
13.76,246.59,125.0,48
14.16,246.59,128.0,48
14.57,246.59,128.0,48
14.97,246.59,131.1,48
15.38,246.59,134.1,48
15.78,246.59,134.1,48
16.19,246.59,137.2,48
0.40,269.00,18.3,48
0.81,269.00,18.3,48
1.21,269.00,18.3,48
1.62,269.00,18.3,48
2.02,269.00,18.3,48
2.43,269.00,51.8,48
2.83,269.00,57.9,48
3.24,269.00,64.0,48
3.64,269.00,70.1,48
4.05,269.00,73.2,48
4.45,269.00,79.2,48
4.86,269.00,82.3,48
5.26,269.00,85.3,48
5.67,269.00,88.4,48
6.07,269.00,91.4,48
6.47,269.00,94.5,48
6.88,269.00,100.6,48
7.28,269.00,103.6,48
7.69,269.00,106.7,48
8.09,269.00,109.7,48
8.50,269.00,112.8,48
8.90,269.00,115.8,48
9.31,269.00,118.9,48
9.71,269.00,121.9,48
10.12,269.00,125.0,48
10.52,269.00,128.0,48
10.93,269.00,131.1,48
11.33,269.00,134.1,48
11.74,269.00,137.2,48
12.14,269.00,137.2,48
12.55,269.00,140.2,48
12.95,269.00,143.3,48
13.35,269.00,146.3,48
13.76,269.00,149.4,48
14.16,269.00,152.4,48
14.57,269.00,155.4,48
14.97,269.00,155.4,48
15.38,269.00,158.5,48
15.78,269.00,161.5,48
16.19,269.00,164.6,48
0.40,291.42,18.3,48
0.81,291.42,18.3,48
1.21,291.42,18.3,48
1.62,291.42,18.3,48
2.02,291.42,18.3,48
2.43,291.42,64.0,48
2.83,291.42,70.1,48
3.24,291.42,76.2,48
3.64,291.42,82.3,48
4.05,291.42,85.3,48
4.45,291.42,91.4,48
4.86,291.42,94.5,48
5.26,291.42,100.6,48
5.67,291.42,103.6,48
6.07,291.42,106.7,48
6.47,291.42,112.8,48
6.88,291.42,115.8,48
7.28,291.42,118.9,48
7.69,291.42,125.0,48
8.09,291.42,128.0,48
8.50,291.42,131.1,48
8.90,291.42,134.1,48
9.31,291.42,137.2,48
9.71,291.42,143.3,48
10.12,291.42,146.3,48
10.52,291.42,149.4,48
10.93,291.42,152.4,48
11.33,291.42,155.4,48
11.74,291.42,158.5,48
12.14,291.42,161.5,48
12.55,291.42,164.6,48
12.95,291.42,167.6,48
13.35,291.42,170.7,48
13.76,291.42,173.7,48
14.16,291.42,176.8,48
14.57,291.42,179.8,48
14.97,291.42,182.9,48
15.38,291.42,185.9,48
15.78,291.42,189.0,48
16.19,291.42,192.0,48
0.40,313.84,18.3,48
0.81,313.84,18.3,48
1.21,313.84,18.3,48
1.62,313.84,18.3,48
2.02,313.84,18.3,48
2.43,313.84,73.2,48
2.83,313.84,79.2,48
3.24,313.84,85.3,48
3.64,313.84,91.4,48
4.05,313.84,97.5,48
4.45,313.84,103.6,48
4.86,313.84,109.7,48
5.26,313.84,115.8,48
5.67,313.84,118.9,48
6.07,313.84,125.0,48
6.47,313.84,128.0,48
6.88,313.84,134.1,48
7.28,313.84,137.2,48
7.69,313.84,143.3,48
8.09,313.84,146.3,48
8.50,313.84,149.4,48
8.90,313.84,155.4,48
9.31,313.84,158.5,48
9.71,313.84,161.5,48
10.12,313.84,167.6,48
10.52,313.84,170.7,48
10.93,313.84,173.7,48
11.33,313.84,176.8,48
11.74,313.84,182.9,48
12.14,313.84,185.9,48
12.55,313.84,189.0,48
12.95,313.84,192.0,48
13.35,313.84,195.1,48
13.76,313.84,198.1,48
14.16,313.84,201.2,48
14.57,313.84,207.3,48
14.97,313.84,210.3,48
15.38,313.84,213.4,48
15.78,313.84,216.4,48
16.19,313.84,219.5,48
0.40,336.26,18.3,48
0.81,336.26,18.3,48
1.21,336.26,18.3,48
1.62,336.26,18.3,48
2.02,336.26,18.3,48
2.43,336.26,82.3,48
2.83,336.26,91.4,48
3.24,336.26,97.5,48
3.64,336.26,103.6,48
4.05,336.26,112.8,48
4.45,336.26,118.9,48
4.86,336.26,125.0,48
5.26,336.26,131.1,48
5.67,336.26,134.1,48
6.07,336.26,140.2,48
6.47,336.26,146.3,48
6.88,336.26,152.4,48
7.28,336.26,155.4,48
7.69,336.26,161.5,48
8.09,336.26,164.6,48
8.50,336.26,170.7,48
8.90,336.26,173.7,48
9.31,336.26,179.8,48
9.71,336.26,182.9,48
10.12,336.26,189.0,48
10.52,336.26,192.0,48
10.93,336.26,198.1,48
11.33,336.26,201.2,48
11.74,336.26,204.2,48
12.14,336.26,210.3,48
12.55,336.26,213.4,48
12.95,336.26,216.4,48
13.35,336.26,222.5,48
13.76,336.26,225.6,48
14.16,336.26,228.6,48
14.57,336.26,231.6,48
14.97,336.26,234.7,48
15.38,336.26,240.8,48
15.78,336.26,243.8,48
16.19,336.26,246.9,48
0.40,358.67,18.3,48
0.81,358.67,18.3,48
1.21,358.67,18.3,48
1.62,358.67,18.3,48
2.02,358.67,18.3,48
2.43,358.67,94.5,48
2.83,358.67,100.6,48
3.24,358.67,109.7,48
3.64,358.67,115.8,48
4.05,358.67,125.0,48
4.45,358.67,131.1,48
4.86,358.67,137.2,48
5.26,358.67,146.3,48
5.67,358.67,152.4,48
6.07,358.67,158.5,48
6.47,358.67,164.6,48
6.88,358.67,167.6,48
7.28,358.67,173.7,48
7.69,358.67,179.8,48
8.09,358.67,185.9,48
8.50,358.67,189.0,48
8.90,358.67,195.1,48
9.31,358.67,201.2,48
9.71,358.67,204.2,48
10.12,358.67,210.3,48
10.52,358.67,216.4,48
10.93,358.67,219.5,48
11.33,358.67,225.6,48
11.74,358.67,228.6,48
12.14,358.67,234.7,48
12.55,358.67,237.7,48
12.95,358.67,243.8,48
13.35,358.67,246.9,48
13.76,358.67,249.9,48
14.16,358.67,256.0,48
14.57,358.67,259.1,48
14.97,358.67,265.2,48
15.38,358.67,268.2,48
15.78,358.67,271.3,48
16.19,358.67,274.3,48
0.40,381.09,18.3,48
0.81,381.09,18.3,48
1.21,381.09,18.3,48
1.62,381.09,18.3,48
2.02,381.09,18.3,48
2.43,381.09,103.6,48
2.83,381.09,112.8,48
3.24,381.09,121.9,48
3.64,381.09,128.0,48
4.05,381.09,137.2,48
4.45,381.09,146.3,48
4.86,381.09,152.4,48
5.26,381.09,161.5,48
5.67,381.09,167.6,48
6.07,381.09,173.7,48
6.47,381.09,179.8,48
6.88,381.09,185.9,48
7.28,381.09,192.0,48
7.69,381.09,198.1,48
8.09,381.09,204.2,48
8.50,381.09,210.3,48
8.90,381.09,216.4,48
9.31,381.09,222.5,48
9.71,381.09,228.6,48
10.12,381.09,231.6,48
10.52,381.09,237.7,48
10.93,381.09,243.8,48
11.33,381.09,246.9,48
11.74,381.09,253.0,48
12.14,381.09,259.1,48
12.55,381.09,262.1,48
12.95,381.09,268.2,48
13.35,381.09,274.3,48
13.76,381.09,277.4,48
14.16,381.09,283.5,48
14.57,381.09,286.5,48
14.97,381.09,292.6,48
15.38,381.09,295.7,48
15.78,381.09,301.8,48
16.19,381.09,304.8,48
0.40,403.51,18.3,48
0.81,403.51,18.3,48
1.21,403.51,18.3,48
1.62,403.51,18.3,48
2.02,403.51,18.3,48
2.43,403.51,112.8,48
2.83,403.51,125.0,48
3.24,403.51,134.1,48
3.64,403.51,143.3,48
4.05,403.51,152.4,48
4.45,403.51,158.5,48
4.86,403.51,167.6,48
5.26,403.51,176.8,48
5.67,403.51,182.9,48
6.07,403.51,192.0,48
6.47,403.51,198.1,48
6.88,403.51,204.2,48
7.28,403.51,213.4,48
7.69,403.51,219.5,48
8.09,403.51,225.6,48
8.50,403.51,231.6,48
8.90,403.51,237.7,48
9.31,403.51,243.8,48
9.71,403.51,249.9,48
10.12,403.51,256.0,48
10.52,403.51,262.1,48
10.93,403.51,265.2,48
11.33,403.51,271.3,48
11.74,403.51,277.4,48
12.14,403.51,283.5,48
12.55,403.51,289.6,48
12.95,403.51,292.6,48
13.35,403.51,298.7,48
13.76,403.51,304.8,48
14.16,403.51,304.8,48
14.57,403.51,304.8,48
14.97,403.51,304.8,48
15.38,403.51,335.3,48
15.78,403.51,335.3,48
16.19,403.51,335.3,48
0.40,425.92,18.3,48
0.81,425.92,18.3,48
1.21,425.92,18.3,48
1.62,425.92,18.3,48
2.02,425.92,18.3,48
2.43,425.92,125.0,48
2.83,425.92,134.1,48
3.24,425.92,146.3,48
3.64,425.92,155.4,48
4.05,425.92,164.6,48
4.45,425.92,173.7,48
4.86,425.92,182.9,48
5.26,425.92,192.0,48
5.67,425.92,201.2,48
6.07,425.92,207.3,48
6.47,425.92,216.4,48
6.88,425.92,222.5,48
7.28,425.92,231.6,48
7.69,425.92,237.7,48
8.09,425.92,243.8,48
8.50,425.92,249.9,48
8.90,425.92,259.1,48
9.31,425.92,265.2,48
9.71,425.92,271.3,48
10.12,425.92,277.4,48
10.52,425.92,283.5,48
10.93,425.92,289.6,48
11.33,425.92,295.7,48
11.74,425.92,301.8,48
12.14,425.92,304.8,48
12.55,425.92,304.8,48
12.95,425.92,304.8,48
13.35,425.92,335.3,48
13.76,425.92,335.3,48
14.16,425.92,335.3,48
14.57,425.92,335.3,48
14.97,425.92,335.3,48
15.38,425.92,365.8,48
15.78,425.92,365.8,48
16.19,425.92,365.8,48
0.40,448.34,18.3,48
0.81,448.34,18.3,48
1.21,448.34,18.3,48
1.62,448.34,18.3,48
2.02,448.34,18.3,48
2.43,448.34,134.1,48
2.83,448.34,146.3,48
3.24,448.34,155.4,48
3.64,448.34,167.6,48
4.05,448.34,176.8,48
4.45,448.34,189.0,48
4.86,448.34,198.1,48
5.26,448.34,207.3,48
5.67,448.34,216.4,48
6.07,448.34,225.6,48
6.47,448.34,234.7,48
6.88,448.34,240.8,48
7.28,448.34,249.9,48
7.69,448.34,256.0,48
8.09,448.34,265.2,48
8.50,448.34,271.3,48
8.90,448.34,280.4,48
9.31,448.34,286.5,48
9.71,448.34,292.6,48
10.12,448.34,298.7,48
10.52,448.34,304.8,48
10.93,448.34,304.8,48
11.33,448.34,335.3,48
11.74,448.34,335.3,48
12.14,448.34,335.3,48
12.55,448.34,335.3,48
12.95,448.34,335.3,48
13.35,448.34,365.8,48
13.76,448.34,365.8,48
14.16,448.34,365.8,48
14.57,448.34,365.8,48
14.97,448.34,365.8,48
15.38,448.34,396.2,48
15.78,448.34,396.2,48
16.19,448.34,396.2,48
0.40,470.76,18.3,48
0.81,470.76,18.3,48
1.21,470.76,18.3,48
1.62,470.76,18.3,48
2.02,470.76,18.3,48
2.43,470.76,146.3,48
2.83,470.76,158.5,48
3.24,470.76,167.6,48
3.64,470.76,179.8,48
4.05,470.76,192.0,48
4.45,470.76,201.2,48
4.86,470.76,213.4,48
5.26,470.76,222.5,48
5.67,470.76,231.6,48
6.07,470.76,240.8,48
6.47,470.76,249.9,48
6.88,470.76,259.1,48
7.28,470.76,268.2,48
7.69,470.76,277.4,48
8.09,470.76,283.5,48
8.50,470.76,292.6,48
8.90,470.76,298.7,48
9.31,470.76,304.8,48
9.71,470.76,304.8,48
10.12,470.76,335.3,48
10.52,470.76,335.3,48
10.93,470.76,335.3,48
11.33,470.76,335.3,48
11.74,470.76,365.8,48
12.14,470.76,365.8,48
12.55,470.76,365.8,48
12.95,470.76,365.8,48
13.35,470.76,365.8,48
13.76,470.76,396.2,48
14.16,470.76,396.2,48
14.57,470.76,396.2,48
14.97,470.76,396.2,48
15.38,470.76,396.2,48
15.78,470.76,426.7,48
16.19,470.76,426.7,48
0.40,493.17,18.3,48
0.81,493.17,18.3,48
1.21,493.17,18.3,48
1.62,493.17,18.3,48
2.02,493.17,18.3,48
2.43,493.17,155.4,48
2.83,493.17,167.6,48
3.24,493.17,179.8,48
3.64,493.17,192.0,48
4.05,493.17,204.2,48
4.45,493.17,216.4,48
4.86,493.17,228.6,48
5.26,493.17,237.7,48
5.67,493.17,249.9,48
6.07,493.17,259.1,48
6.47,493.17,268.2,48
6.88,493.17,277.4,48
7.28,493.17,286.5,48
7.69,493.17,295.7,48
8.09,493.17,304.8,48
8.50,493.17,304.8,48
8.90,493.17,335.3,48
9.31,493.17,335.3,48
9.71,493.17,335.3,48
10.12,493.17,335.3,48
10.52,493.17,365.8,48
10.93,493.17,365.8,48
11.33,493.17,365.8,48
11.74,493.17,365.8,48
12.14,493.17,396.2,48
12.55,493.17,396.2,48
12.95,493.17,396.2,48
13.35,493.17,396.2,48
13.76,493.17,396.2,48
14.16,493.17,426.7,48
14.57,493.17,426.7,48
14.97,493.17,426.7,48
15.38,493.17,426.7,48
15.78,493.17,457.2,48
16.19,493.17,457.2,48
0.40,515.59,18.3,48
0.81,515.59,18.3,48
1.21,515.59,18.3,48
1.62,515.59,18.3,48
2.02,515.59,18.3,48
2.43,515.59,164.6,48
2.83,515.59,179.8,48
3.24,515.59,192.0,48
3.64,515.59,204.2,48
4.05,515.59,219.5,48
4.45,515.59,231.6,48
4.86,515.59,243.8,48
5.26,515.59,253.0,48
5.67,515.59,265.2,48
6.07,515.59,274.3,48
6.47,515.59,286.5,48
6.88,515.59,295.7,48
7.28,515.59,304.8,48
7.69,515.59,304.8,48
8.09,515.59,335.3,48
8.50,515.59,335.3,48
8.90,515.59,335.3,48
9.31,515.59,335.3,48
9.71,515.59,365.8,48
10.12,515.59,365.8,48
10.52,515.59,365.8,48
10.93,515.59,396.2,48
11.33,515.59,396.2,48
11.74,515.59,396.2,48
12.14,515.59,396.2,48
12.55,515.59,426.7,48
12.95,515.59,426.7,48
13.35,515.59,426.7,48
13.76,515.59,426.7,48
14.16,515.59,457.2,48
14.57,515.59,457.2,48
14.97,515.59,457.2,48
15.38,515.59,457.2,48
15.78,515.59,457.2,48
16.19,515.59,487.7,48
0.40,538.01,18.3,48
0.81,538.01,18.3,48
1.21,538.01,18.3,48
1.62,538.01,18.3,48
2.02,538.01,18.3,48
2.43,538.01,176.8,48
2.83,538.01,189.0,48
3.24,538.01,204.2,48
3.64,538.01,216.4,48
4.05,538.01,231.6,48
4.45,538.01,243.8,48
4.86,538.01,256.0,48
5.26,538.01,268.2,48
5.67,538.01,280.4,48
6.07,538.01,292.6,48
6.47,538.01,301.8,48
6.88,538.01,304.8,48
7.28,538.01,335.3,48
7.69,538.01,335.3,48
8.09,538.01,335.3,48
8.50,538.01,365.8,48
8.90,538.01,365.8,48
9.31,538.01,365.8,48
9.71,538.01,365.8,48
10.12,538.01,396.2,48
10.52,538.01,396.2,48
10.93,538.01,396.2,48
11.33,538.01,426.7,48
11.74,538.01,426.7,48
12.14,538.01,426.7,48
12.55,538.01,426.7,48
12.95,538.01,457.2,48
13.35,538.01,457.2,48
13.76,538.01,457.2,48
14.16,538.01,457.2,48
14.57,538.01,487.7,48
14.97,538.01,487.7,48
15.38,538.01,487.7,48
15.78,538.01,487.7,48
16.19,538.01,518.2,48
0.40,560.43,18.3,48
0.81,560.43,18.3,48
1.21,560.43,18.3,48
1.62,560.43,18.3,48
2.02,560.43,18.3,48
2.43,560.43,185.9,48
2.83,560.43,201.2,48
3.24,560.43,216.4,48
3.64,560.43,231.6,48
4.05,560.43,243.8,48
4.45,560.43,259.1,48
4.86,560.43,271.3,48
5.26,560.43,283.5,48
5.67,560.43,295.7,48
6.07,560.43,304.8,48
6.47,560.43,304.8,48
6.88,560.43,335.3,48
7.28,560.43,335.3,48
7.69,560.43,365.8,48
8.09,560.43,365.8,48
8.50,560.43,365.8,48
8.90,560.43,396.2,48
9.31,560.43,396.2,48
9.71,560.43,396.2,48
10.12,560.43,396.2,48
10.52,560.43,426.7,48
10.93,560.43,426.7,48
11.33,560.43,426.7,48
11.74,560.43,457.2,48
12.14,560.43,457.2,48
12.55,560.43,457.2,48
12.95,560.43,457.2,48
13.35,560.43,487.7,48
13.76,560.43,487.7,48
14.16,560.43,487.7,48
14.57,560.43,518.2,48
